,prediction
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,1
25,0
26,0
27,1
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,1
40,0
41,0
42,1
43,0
44,0
45,0
46,1
47,1
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,1
65,0
66,0
67,1
68,0
69,1
70,1
71,0
72,1
73,0
74,0
75,1
76,0
77,0
78,1
79,0
80,0
81,0
82,0
83,1
84,1
85,0
86,0
87,1
88,0
89,1
90,1
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,1
108,0
109,0
110,0
111,0
112,0
113,0
114,1
115,0
116,1
117,0
118,0
119,0
120,1
121,0
122,1
123,0
124,0
125,0
126,0
127,0
128,0
129,1
130,0
131,1
132,0
133,1
134,0
135,1
136,0
137,0
138,0
139,0
140,0
141,1
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,1
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,1
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,1
182,1
183,0
184,0
185,0
186,1
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,1
196,1
197,0
198,1
199,1
200,1
201,0
202,0
203,1
204,0
205,1
206,0
207,1
208,0
209,0
210,1
211,1
212,0
213,0
214,1
215,1
216,0
217,1
218,0
219,1
220,0
221,0
222,1
223,0
224,1
225,0
226,0
227,0
228,1
229,0
230,1
231,1
232,0
233,0
234,0
235,1
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,1
247,0
248,1
249,0
250,0
251,0
252,1
253,0
254,1
255,0
256,0
257,1
258,0
259,0
260,1
261,1
262,0
263,0
264,1
265,0
266,1
267,1
268,0
269,0
270,0
271,1
272,0
273,1
274,0
275,1
276,0
277,1
278,1
279,1
280,0
281,0
282,1
283,1
284,0
285,0
286,0
287,0
288,1
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,1
298,1
299,0
300,0
301,0
302,0
303,0
304,1
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,1
315,1
316,0
317,1
318,1
319,1
320,1
321,0
322,0
323,1
324,0
325,1
326,0
327,1
328,1
329,1
330,0
331,0
332,0
333,1
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,1
344,0
345,1
346,1
347,1
348,0
349,1
350,0
351,1
352,0
353,1
354,1
355,1
356,0
357,0
358,1
359,0
360,0
361,0
362,1
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,1
374,0
375,0
376,1
377,0
378,1
379,1
380,0
381,0
382,0
383,0
384,1
385,0
386,0
387,0
388,1
389,1
390,1
391,0
392,0
393,1
394,1
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,1
416,0
417,1
418,1
419,1
420,1
421,1
422,0
423,1
424,1
425,1
426,1
427,1
428,0
429,1
430,1
431,1
432,1
433,0
434,0
435,1
436,1
437,0
438,1
439,0
440,0
441,0
442,1
443,1
444,1
445,0
446,0
447,0
448,0
449,0
450,0
451,1
452,1
453,1
454,1
455,0
456,1
457,0
458,0
459,0
460,1
461,0
462,0
463,0
464,0
465,1
466,0
467,1
468,0
469,0
470,1
471,0
472,0
473,0
474,1
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,1
483,1
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,1
494,0
495,0
496,0
497,0
498,0
499,1
500,0
501,0
502,1
503,0
504,0
505,1
506,0
507,1
508,0
509,1
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,1
519,1
520,1
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,1
530,1
531,0
532,1
